#      date    value 
 2021-08-16 3.26034e-05 
 2021-09-16 3.21266e-05 
 2021-10-16 3.11671e-05 
 2021-11-16 3.22569e-05 
 2021-12-16 3.20888e-05 
 2022-01-16 3.2627e-05 
 2022-02-15 3.23247e-05 
 2022-03-16 3.19394e-05 
 2022-04-16 3.18125e-05 
 2022-05-16 3.29612e-05 
 2022-06-16 3.36185e-05 
 2022-07-16 3.31847e-05 
 2022-08-16 3.2659e-05 
 2022-09-16 3.23369e-05 
 2022-10-16 3.0993e-05 
 2022-11-16 3.17256e-05 
 2022-12-16 3.20269e-05 
 2023-01-16 3.23174e-05 
 2023-02-15 3.20881e-05 
 2023-03-16 3.21559e-05 
 2023-04-16 3.17825e-05 
 2023-05-16 3.1826e-05 
 2023-06-16 3.32241e-05 
 2023-07-16 3.29647e-05 
 2023-08-16 3.28052e-05 
 2023-09-16 3.19593e-05 
 2023-10-16 3.0977e-05 
 2023-11-16 3.14109e-05 
 2023-12-16 3.20807e-05 
 2024-01-16 3.25565e-05 
 2024-02-15 3.21153e-05 
 2024-03-16 3.2167e-05 
 2024-04-16 3.18543e-05 
 2024-05-16 3.24258e-05 
 2024-06-16 3.31354e-05 
 2024-07-16 3.27634e-05 
 2024-08-16 3.30274e-05 
 2024-09-16 3.23555e-05 
 2024-10-16 3.13136e-05 
 2024-11-16 3.17062e-05 
 2024-12-16 3.22588e-05 
 2025-01-16 3.23478e-05 
 2025-02-15 3.22992e-05 
 2025-03-16 3.20031e-05 
 2025-04-16 3.19362e-05 
 2025-05-16 3.22759e-05 
 2025-06-16 3.31906e-05 
 2025-07-16 3.29784e-05 
 2025-08-16 3.30656e-05 
 2025-09-16 3.19242e-05 
 2025-10-16 3.11016e-05 
 2025-11-16 3.18454e-05 
 2025-12-16 3.21428e-05 
 2026-01-16 3.24136e-05 
 2026-02-15 3.26797e-05 
 2026-03-16 3.19886e-05 
 2026-04-16 3.25481e-05 
 2026-05-16 3.26851e-05 
 2026-06-16 3.30497e-05 
 2026-07-16 3.33399e-05 
 2026-08-16 3.26756e-05 
 2026-09-16 3.2093e-05 
 2026-10-16 3.12529e-05 
 2026-11-16 3.18758e-05 
 2026-12-16 3.20128e-05 
 2027-01-16 3.22892e-05 
 2027-02-15 3.26407e-05 
 2027-03-16 3.21352e-05 
 2027-04-16 3.20555e-05 
 2027-05-16 3.21922e-05 
 2027-06-16 3.3137e-05 
 2027-07-16 3.32398e-05 
 2027-08-16 3.28054e-05 
 2027-09-16 3.19789e-05 
 2027-10-16 3.12374e-05 
 2027-11-16 3.18926e-05 
 2027-12-16 3.22773e-05 
 2028-01-16 3.28903e-05 
 2028-02-15 3.24846e-05 
 2028-03-16 3.1771e-05 
 2028-04-16 3.17777e-05 
 2028-05-16 3.18002e-05 
 2028-06-16 3.31038e-05 
 2028-07-16 3.28065e-05 
 2028-08-16 3.29257e-05 
 2028-09-16 3.22323e-05 
 2028-10-16 3.15333e-05 
 2028-11-16 3.21683e-05 
 2028-12-16 3.23187e-05 
 2029-01-16 3.24131e-05 
 2029-02-15 3.229e-05 
 2029-03-16 3.21647e-05 
 2029-04-16 3.22742e-05 
 2029-05-16 3.23679e-05 
 2029-06-16 3.27985e-05 
 2029-07-16 3.32982e-05 
 2029-08-16 3.28957e-05 
 2029-09-16 3.21472e-05 
 2029-10-16 3.16044e-05 
 2029-11-16 3.16813e-05 
 2029-12-16 3.24585e-05 
 2030-01-16 3.23275e-05 
 2030-02-15 3.2288e-05 
